game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
8810,-1,1,O,X,0.002637393,0
8811,1,-1,X,O,0.14225054,0
8812,-1,1,O,X,0.0033486716,0
8813,-1,1,X,O,0.011856758,0
8814,-1,1,O,X,1.0355158,0
8815,-1,1,X,O,0.60535157,0
8816,1,-1,O,X,0.00080546277,0
8817,1,-1,X,O,0.046683054,0
8818,-1,1,O,X,0.14728224,0
8819,1,-1,X,O,0.12384136,0
8820,1,-1,O,X,0.013349088,0
8821,1,-1,X,O,0.032314815,0
8822,-1,1,O,X,0.7263899,0
8823,-1,1,X,O,0.11623248,0
8824,-1,1,O,X,0.035827085,0
8825,1,-1,X,O,0.2487337,0
8826,-1,1,O,X,0.11540933,0
8827,-1,1,X,O,0.0001430701,0
8828,-1,1,O,X,0.1740458,0
8829,-1,1,X,O,0.008051618,0
8830,-1,1,O,X,0.113626935,0
8831,-1,1,X,O,0.001452149,0
8832,1,-1,O,X,0.13735369,0
8833,0,0,X,O,0.010082062,0
8834,-1,1,O,X,0.017800216,0
8835,1,-1,X,O,0.01852218,0
8836,-1,1,O,X,0.237987,0
8837,1,-1,X,O,0.00028899766,0
8838,-1,1,O,X,0.13706423,0
8839,1,-1,X,O,0.007191563,0
8840,-1,1,O,X,0.023365922,0
8841,-1,1,X,O,0.22066563,0
8842,-1,1,O,X,0.06858272,0
8843,1,-1,X,O,0.00426074,0
8844,1,-1,O,X,0.0017392281,0
8845,-1,1,X,O,0.39728877,0
8846,1,-1,O,X,0.056938212,0
8847,-1,1,X,O,0.017048098,0
8848,1,-1,O,X,0.027777683,0
8849,-1,1,X,O,0.3024758,0
8850,-1,1,O,X,0.082531445,0
8851,-1,1,X,O,0.028602174,0
8852,-1,1,O,X,0.051713612,0
8853,1,-1,X,O,0.3037919,0
8854,1,-1,O,X,0.0020984092,0
8855,-1,1,X,O,0.9486089,0
8856,-1,1,O,X,0.6093942,0
8857,1,-1,X,O,0.12862194,0
8858,-1,1,O,X,5.0378512e-05,0
8859,1,-1,X,O,0.07817121,0
8860,-1,1,O,X,0.00016039053,0
8861,1,-1,X,O,0.19188745,0
8862,1,-1,O,X,0.032706775,0
8863,0,0,X,O,0.049470227,0
8864,-1,1,O,X,0.487482,0
8865,1,-1,X,O,0.03396189,0
8866,-1,1,O,X,0.11097332,0
8867,-1,1,X,O,0.009963041,0
8868,-1,1,O,X,0.0014221051,0
8869,1,-1,X,O,0.018374281,0
8870,-1,1,O,X,1.3535031,0
8871,1,-1,X,O,0.07715342,0
8872,-1,1,O,X,1.0053245,0
8873,1,-1,X,O,0.28067148,0
8874,1,-1,O,X,0.012646895,0
8875,-1,1,X,O,0.12704718,0
8876,1,-1,O,X,0.3584163,0
8877,1,-1,X,O,0.0076678745,0
8878,-1,1,O,X,0.029447908,0
8879,-1,1,X,O,0.0074533457,0
8880,-1,1,O,X,0.0074566863,0
8881,1,-1,X,O,0.02395098,0
8882,-1,1,O,X,0.18178576,0
8883,0,0,X,O,0.03548622,0
8884,-1,1,O,X,0.013765171,0
8885,-1,1,X,O,0.006754791,0
8886,-1,1,O,X,0.032462724,0
8887,-1,1,X,O,0.15391059,0
8888,1,-1,O,X,0.018159837,0
8889,1,-1,X,O,0.03552771,0
8890,1,-1,O,X,0.1144799,0
8891,-1,1,X,O,0.69849753,0
8892,-1,1,O,X,0.011519988,0
8893,1,-1,X,O,0.08703686,0
8894,-1,1,O,X,0.10520583,0
8895,-1,1,X,O,0.093691304,0
8896,1,-1,O,X,0.36753002,0
8897,-1,1,X,O,0.24426122,0
8898,-1,1,O,X,0.009904718,0
8899,-1,1,X,O,0.25870588,0
8900,-1,1,O,X,0.02193529,0
8901,1,-1,X,O,0.039549727,0
8902,1,-1,O,X,0.0012608542,0
8903,1,-1,X,O,0.0112449275,0
8904,1,-1,O,X,0.022590358,0
8905,-1,1,X,O,0.03254184,0
8906,-1,1,O,X,0.09686555,0
