game,reward_1,reward_2,player_1,player_2,loss_1,loss_2
16461,1,-1,X,O,0.10136573016643524,0
16462,1,-1,O,X,0.053081214427948,0
16463,1,-1,X,O,0.07972177863121033,0
16464,1,-1,O,X,0.09842280298471451,0
16465,1,-1,X,O,0.07510391622781754,0
16466,-1,1,O,X,0.09398826956748962,0
16467,1,-1,X,O,0.09276294708251953,0
16468,1,-1,O,X,0.07985629886388779,0
16469,-1,1,X,O,0.05941937118768692,0
16470,1,-1,O,X,0.1124349981546402,0
16471,1,-1,X,O,0.10756094753742218,0
16472,-1,1,O,X,0.10164865851402283,0
16473,1,-1,X,O,0.10221536457538605,0
16474,-1,1,O,X,0.09537636488676071,0
16475,1,-1,X,O,0.09784701466560364,0
16476,-1,1,O,X,0.10412862151861191,0
16477,1,-1,X,O,0.07931748032569885,0
16478,1,-1,O,X,0.10265105217695236,0
16479,1,-1,X,O,0.1019546240568161,0
16480,1,-1,O,X,0.06906124949455261,0
16481,1,-1,X,O,0.08681789040565491,0
16482,-1,1,O,X,0.10171601176261902,0
16483,1,-1,X,O,0.07791782915592194,0
16484,-1,1,O,X,0.09638117253780365,0
16485,1,-1,X,O,0.08498130738735199,0
16486,-1,1,O,X,0.10383300483226776,0
16487,1,-1,X,O,0.08956634998321533,0
16488,1,-1,O,X,0.09255176037549973,0
16489,0,0,X,O,0.0693931132555008,0
16490,1,-1,O,X,0.06261096149682999,0
16491,1,-1,X,O,0.08736978471279144,0
16492,1,-1,O,X,0.05191708356142044,0
16493,1,-1,X,O,0.059291329234838486,0
16494,-1,1,O,X,0.08777503669261932,0
16495,1,-1,X,O,0.0832851231098175,0
16496,-1,1,O,X,0.08359838277101517,0
16497,0,0,X,O,0.071683868765831,0
16498,1,-1,O,X,0.06699168682098389,0
16499,1,-1,X,O,0.09894537180662155,0
16500,-1,1,O,X,0.09990198165178299,0
16501,1,-1,X,O,0.11871283501386642,0
16502,1,-1,O,X,0.073537677526474,0
16503,-1,1,X,O,0.14003854990005493,0
16504,-1,1,O,X,0.09811517596244812,0
16505,1,-1,X,O,0.14307746291160583,0
16506,-1,1,O,X,0.12522515654563904,0
16507,1,-1,X,O,0.08619342744350433,0
16508,-1,1,O,X,0.07386714220046997,0
16509,1,-1,X,O,0.10006363689899445,0
16510,1,-1,O,X,0.09494256973266602,0
16511,1,-1,X,O,0.07616198062896729,0
16512,1,-1,O,X,0.0980866402387619,0
16513,1,-1,X,O,0.12001537531614304,0
16514,1,-1,O,X,0.03943847864866257,0
16515,1,-1,X,O,0.0728045105934143,0
16516,0,0,O,X,0.07583323866128922,0
16517,0,0,X,O,0.07953283935785294,0
16518,-1,1,O,X,0.0880112573504448,0
16519,1,-1,X,O,0.0964566171169281,0
16520,1,-1,O,X,0.07140786200761795,0
16521,1,-1,X,O,0.08845461159944534,0
16522,1,-1,O,X,0.09010430425405502,0
16523,-1,1,X,O,0.11245261132717133,0
16524,-1,1,O,X,0.08957598358392715,0
16525,1,-1,X,O,0.1324712038040161,0
16526,0,0,O,X,0.0875118225812912,0
16527,-1,1,X,O,0.11189666390419006,0
16528,1,-1,O,X,0.05393458530306816,0
16529,1,-1,X,O,0.08035379648208618,0
16530,1,-1,O,X,0.055901430547237396,0
16531,1,-1,X,O,0.08290144056081772,0
16532,1,-1,O,X,0.08133826404809952,0
16533,0,0,X,O,0.09670161455869675,0
16534,-1,1,O,X,0.08956940472126007,0
16535,1,-1,X,O,0.07811377942562103,0
16536,1,-1,O,X,0.08586990833282471,0
16537,1,-1,X,O,0.07752643525600433,0
16538,-1,1,O,X,0.09552004933357239,0
16539,1,-1,X,O,0.09783068299293518,0
16540,-1,1,O,X,0.0992765873670578,0
16541,1,-1,X,O,0.10306254029273987,0
16542,1,-1,O,X,0.05047805234789848,0
16543,1,-1,X,O,0.07931873202323914,0
16544,-1,1,O,X,0.08927761018276215,0
16545,1,-1,X,O,0.09508192539215088,0
16546,1,-1,O,X,0.09601860493421555,0
16547,1,-1,X,O,0.12125808000564575,0
16548,1,-1,O,X,0.10328315198421478,0
16549,1,-1,X,O,0.09772704541683197,0
16550,-1,1,O,X,0.0735136866569519,0
16551,1,-1,X,O,0.07494330406188965,0
