,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,eps
499,500,-1,1,O,X,-1.0,0.276,0.5
749,750,1,-1,O,X,-1.0,0.32,0.5
999,1000,-1,1,O,X,-1.0,0.304,0.5
1249,1250,-1,1,O,X,-1.0,0.29,0.5
1499,1500,-1,1,O,X,-1.0,0.284,0.5
1749,1750,-1,1,O,X,-1.0,0.35,0.5
1999,2000,0,0,O,X,-1.0,0.286,0.5
2249,2250,-1,1,O,X,-1.0,0.398,0.5
2499,2500,1,-1,O,X,-1.0,0.364,0.5
2749,2750,-1,1,O,X,-1.0,0.404,0.5
2999,3000,0,0,O,X,-1.0,0.37,0.5
3249,3250,-1,1,O,X,-1.0,0.358,0.5
3499,3500,-1,1,O,X,-1.0,0.428,0.5
3749,3750,-1,1,O,X,-1.0,0.436,0.5
3999,4000,0,0,O,X,-1.0,0.416,0.5
4249,4250,-1,1,O,X,-1.0,0.474,0.5
4499,4500,-1,1,O,X,-1.0,0.452,0.5
4749,4750,-1,1,O,X,-1.0,0.472,0.5
4999,5000,1,-1,O,X,-1.0,0.568,0.5
5249,5250,-1,1,O,X,-1.0,0.474,0.5
5499,5500,1,-1,O,X,-1.0,0.45,0.5
5749,5750,-1,1,O,X,-1.0,0.408,0.5
5999,6000,-1,1,O,X,-1.0,0.458,0.5
6249,6250,1,-1,O,X,-1.0,0.492,0.5
6499,6500,0,0,O,X,-1.0,0.478,0.5
6749,6750,-1,1,O,X,-1.0,0.498,0.5
6999,7000,1,-1,O,X,-1.0,0.486,0.5
7249,7250,-1,1,O,X,-1.0,0.424,0.5
7499,7500,-1,1,O,X,-1.0,0.394,0.5
7749,7750,1,-1,O,X,-1.0,0.506,0.5
7999,8000,-1,1,O,X,-1.0,0.476,0.5
8249,8250,-1,1,O,X,-1.0,0.41,0.5
8499,8500,-1,1,O,X,-1.0,0.45,0.5
8749,8750,-1,1,O,X,-1.0,0.47,0.5
8999,9000,-1,1,O,X,-1.0,0.45,0.5
9249,9250,0,0,O,X,-1.0,0.476,0.5
9499,9500,0,0,O,X,-1.0,0.412,0.5
9749,9750,-1,1,O,X,-1.0,0.418,0.5
9999,10000,-1,1,O,X,-1.0,0.518,0.5
10249,10250,1,-1,O,X,-1.0,0.46,0.5
10499,10500,1,-1,O,X,-1.0,0.468,0.5
10749,10750,1,-1,O,X,-1.0,0.406,0.5
10999,11000,-1,1,O,X,-1.0,0.514,0.5
11249,11250,-1,1,O,X,-1.0,0.424,0.5
11499,11500,1,-1,O,X,-1.0,0.452,0.5
11749,11750,-1,1,O,X,-1.0,0.478,0.5
11999,12000,-1,1,O,X,-1.0,0.478,0.5
12249,12250,-1,1,O,X,-1.0,0.486,0.5
12499,12500,-1,1,O,X,-1.0,0.424,0.5
12749,12750,-1,1,O,X,-1.0,0.394,0.5
12999,13000,-1,1,O,X,-1.0,0.464,0.5
13249,13250,-1,1,O,X,-1.0,0.506,0.5
13499,13500,0,0,O,X,-1.0,0.464,0.5
13749,13750,1,-1,O,X,-1.0,0.448,0.5
13999,14000,-1,1,O,X,-1.0,0.402,0.5
14249,14250,-1,1,O,X,-1.0,0.474,0.5
14499,14500,-1,1,O,X,-1.0,0.474,0.5
14749,14750,-1,1,O,X,-1.0,0.474,0.5
14999,15000,-1,1,O,X,-1.0,0.516,0.5
15249,15250,-1,1,O,X,-1.0,0.466,0.5
15499,15500,-1,1,O,X,-1.0,0.42,0.5
