,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
14248,14249,-1,1,X,O,0.060867324471473694,0.040267523378133774,-0.784,0.712,0.2
14498,14499,-1,1,X,O,0.0576712042093277,0.09068852663040161,-0.8,0.834,0.2
14748,14749,1,-1,X,O,0.06174258142709732,0.09524589776992798,-0.536,0.898,0.2
14998,14999,-1,1,X,O,0.10665135085582733,0.06338346749544144,-0.418,0.888,0.2
15248,15249,-1,1,X,O,0.0696435496211052,0.07823966443538666,-0.716,0.898,0.2
15498,15499,-1,1,X,O,0.03364402428269386,0.09071005135774612,-0.908,0.854,0.2
15748,15749,-1,1,X,O,0.07649517059326172,0.08195725083351135,-0.902,0.808,0.2
15998,15999,-1,1,X,O,0.11676958203315735,0.07965479791164398,-0.724,0.876,0.2
16248,16249,1,-1,X,O,0.10102225840091705,0.05342546105384827,-0.174,0.902,0.2
16498,16499,0,0,X,O,0.12068299949169159,0.07733850181102753,-0.57,0.832,0.2
16748,16749,1,-1,X,O,0.062044575810432434,0.1184631884098053,-0.542,0.89,0.2
16998,16999,-1,1,X,O,0.11447064578533173,0.0542629137635231,-0.578,0.896,0.2
17248,17249,1,-1,X,O,0.07754309475421906,0.1123822033405304,-0.674,0.722,0.2
17498,17499,1,-1,X,O,0.12572535872459412,0.10927458107471466,-0.774,0.86,0.2
17748,17749,-1,1,X,O,0.09853682667016983,0.12502704560756683,-0.67,0.882,0.2
17998,17999,0,0,X,O,0.1085081547498703,0.08196575939655304,-0.208,0.91,0.2
18248,18249,1,-1,X,O,0.04774244874715805,0.07964375615119934,-0.614,0.86,0.2
18498,18499,-1,1,X,O,0.15204724669456482,0.09614776074886322,-0.328,0.86,0.2
18748,18749,-1,1,X,O,0.0743204802274704,0.06962452828884125,-0.55,0.872,0.2
18998,18999,0,0,X,O,0.10572968423366547,0.11791723221540451,-0.452,0.872,0.2
19248,19249,-1,1,X,O,0.1994662582874298,0.13416782021522522,-0.464,0.85,0.2
19498,19499,1,-1,X,O,0.07832646369934082,0.060961682349443436,-0.402,0.878,0.2
19748,19749,1,-1,X,O,0.08368019759654999,0.1107017993927002,-0.706,0.844,0.2
19998,19999,1,-1,X,O,0.13237391412258148,0.10535787791013718,-0.802,0.79,0.2
