,game,reward_1,reward_2,player_1,player_2,player_1_opt,player_1_rand,n_star
12249,12250,-1,1,O,X,-1.0,0.446,40000
12499,12500,-1,1,O,X,-1.0,0.474,40000
12749,12750,-1,1,O,X,-1.0,0.412,40000
12999,13000,0,0,O,X,-1.0,0.414,40000
13249,13250,-1,1,O,X,-1.0,0.366,40000
13499,13500,-1,1,O,X,-1.0,0.462,40000
13749,13750,-1,1,O,X,-1.0,0.466,40000
13999,14000,-1,1,O,X,-1.0,0.422,40000
14249,14250,-1,1,O,X,-1.0,0.438,40000
14499,14500,-1,1,O,X,-1.0,0.464,40000
14749,14750,0,0,O,X,-1.0,0.438,40000
14999,15000,-1,1,O,X,-1.0,0.432,40000
15249,15250,-1,1,O,X,-1.0,0.424,40000
15499,15500,-1,1,O,X,-1.0,0.458,40000
15749,15750,-1,1,O,X,-1.0,0.456,40000
15999,16000,-1,1,O,X,-1.0,0.446,40000
16249,16250,1,-1,O,X,-1.0,0.418,40000
16499,16500,-1,1,O,X,-1.0,0.446,40000
16749,16750,-1,1,O,X,-1.0,0.424,40000
16999,17000,-1,1,O,X,-1.0,0.486,40000
17249,17250,1,-1,O,X,-1.0,0.498,40000
17499,17500,1,-1,O,X,-1.0,0.484,40000
17749,17750,-1,1,O,X,-1.0,0.42,40000
17999,18000,-1,1,O,X,-1.0,0.468,40000
18249,18250,-1,1,O,X,-1.0,0.412,40000
18499,18500,0,0,O,X,-1.0,0.524,40000
18749,18750,-1,1,O,X,-1.0,0.346,40000
18999,19000,-1,1,O,X,-1.0,0.506,40000
19249,19250,-1,1,O,X,-1.0,0.432,40000
19499,19500,-1,1,O,X,-1.0,0.402,40000
19749,19750,-1,1,O,X,-1.0,0.306,40000
