,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
1248,1249,X,O,0.059269100427627563,0,-1.0,0.732,8000
1498,1499,X,O,0.05615726485848427,0,-0.806,0.698,8000
1748,1749,X,O,0.06459366530179977,0,-1.0,0.6,8000
1998,1999,X,O,0.06590955704450607,0,-0.806,0.726,8000
2248,2249,X,O,0.08350685238838196,0,-1.0,0.752,8000
2498,2499,X,O,0.07741302251815796,0,-1.0,0.768,8000
2748,2749,X,O,0.07040908187627792,0,-1.0,0.818,8000
2998,2999,X,O,0.08924103528261185,0,-1.0,0.806,8000
3248,3249,X,O,0.06788266450166702,0,-1.0,0.782,8000
3498,3499,X,O,0.11389989405870438,0,0.194,0.744,8000
3748,3749,X,O,0.10363321006298065,0,-0.806,0.76,8000
3998,3999,X,O,0.08486313372850418,0,-1.0,0.79,8000
4248,4249,X,O,0.11580581963062286,0,0.0,0.742,8000
4498,4499,X,O,0.06980566680431366,0,0.0,0.824,8000
4748,4749,X,O,0.07211107760667801,0,0.0,0.764,8000
4998,4999,X,O,0.11431697756052017,0,0.0,0.844,8000
5248,5249,X,O,0.07360059767961502,0,0.0,0.836,8000
5498,5499,X,O,0.12329156696796417,0,0.0,0.834,8000
5748,5749,X,O,0.07471130043268204,0,0.0,0.846,8000
5998,5999,X,O,0.06545533239841461,0,0.0,0.856,8000
6248,6249,X,O,0.076755091547966,0,-1.0,0.824,8000
6498,6499,X,O,0.06866565346717834,0,-1.0,0.808,8000
6748,6749,X,O,0.0764637440443039,0,-1.0,0.842,8000
6998,6999,X,O,0.07656063139438629,0,-0.5,0.828,8000
7248,7249,X,O,0.08841466158628464,0,-0.5,0.87,8000
7498,7499,X,O,0.10288345068693161,0,-1.0,0.832,8000
7748,7749,X,O,0.06646276265382767,0,-1.0,0.822,8000
7998,7999,X,O,0.12149518728256226,0,-0.402,0.848,8000
8248,8249,X,O,0.13623234629631042,0,0.0,0.806,8000
8498,8499,X,O,0.117825947701931,0,0.0,0.84,8000
8748,8749,X,O,0.09021354466676712,0,0.0,0.796,8000
8998,8999,X,O,0.11022089421749115,0,0.0,0.76,8000
9248,9249,X,O,0.09532366693019867,0,0.098,0.8,8000
9498,9499,X,O,0.07819630950689316,0,-0.676,0.762,8000
9748,9749,X,O,0.10730637609958649,0,0.0,0.826,8000
9998,9999,X,O,0.08460281789302826,0,0.0,0.784,8000
10248,10249,X,O,0.08657452464103699,0,0.0,0.794,8000
10498,10499,X,O,0.09414856880903244,0,0.0,0.82,8000
10748,10749,X,O,0.0999511182308197,0,-0.396,0.818,8000
10998,10999,X,O,0.06020769476890564,0,-0.298,0.874,8000
11248,11249,X,O,0.07493047416210175,0,0.0,0.83,8000
11498,11499,X,O,0.06846172362565994,0,0.0,0.828,8000
11748,11749,X,O,0.07449750602245331,0,0.0,0.862,8000
11998,11999,X,O,0.09709948301315308,0,0.0,0.856,8000
12248,12249,X,O,0.05722488462924957,0,0.0,0.86,8000
12498,12499,X,O,0.05155293270945549,0,0.0,0.858,8000
12748,12749,X,O,0.04618256539106369,0,0.0,0.878,8000
12998,12999,X,O,0.11328224837779999,0,0.0,0.856,8000
13248,13249,X,O,0.09395291656255722,0,0.0,0.836,8000
13498,13499,X,O,0.08889544010162354,0,0.0,0.876,8000
13748,13749,X,O,0.11322556436061859,0,0.0,0.896,8000
13998,13999,X,O,0.04758192598819733,0,0.0,0.88,8000
14248,14249,X,O,0.1268051564693451,0,0.0,0.886,8000
14498,14499,X,O,0.11838892102241516,0,0.202,0.862,8000
14748,14749,X,O,0.10370282828807831,0,0.0,0.868,8000
14998,14999,X,O,0.11114831268787384,0,0.0,0.794,8000
15248,15249,X,O,0.06947901844978333,0,0.0,0.872,8000
15498,15499,X,O,0.11520060151815414,0,0.098,0.844,8000
15748,15749,X,O,0.0818851888179779,0,0.0,0.858,8000
15998,15999,X,O,0.07557728886604309,0,0.0,0.82,8000
16248,16249,X,O,0.10026147216558456,0,0.0,0.76,8000
16498,16499,X,O,0.08020951598882675,0,0.0,0.844,8000
16748,16749,X,O,0.09058231115341187,0,0.098,0.87,8000
16998,16999,X,O,0.05141517147421837,0,0.0,0.776,8000
17248,17249,X,O,0.0995587408542633,0,0.0,0.864,8000
17498,17499,X,O,0.0781254693865776,0,0.098,0.81,8000
17748,17749,X,O,0.10502387583255768,0,0.0,0.83,8000
17998,17999,X,O,0.08284252882003784,0,0.0,0.78,8000
18248,18249,X,O,0.07601917535066605,0,0.0,0.764,8000
18498,18499,X,O,0.07063736021518707,0,0.0,0.792,8000
18748,18749,X,O,0.11911232769489288,0,0.0,0.824,8000
18998,18999,X,O,0.11730174720287323,0,0.0,0.784,8000
19248,19249,X,O,0.07317299395799637,0,0.0,0.82,8000
