,game,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,n_star
6248,6249,X,O,0.10792005807161331,0,-1.0,0.74,32000
6498,6499,X,O,0.06537804752588272,0,0.118,0.752,32000
6748,6749,X,O,0.10797344893217087,0,-0.778,0.826,32000
6998,6999,X,O,0.0842156857252121,0,-1.0,0.652,32000
7248,7249,X,O,0.11164575815200806,0,-1.0,0.742,32000
7498,7499,X,O,0.08258125931024551,0,0.0,0.792,32000
7748,7749,X,O,0.06568600982427597,0,-0.814,0.752,32000
7998,7999,X,O,0.09899093210697174,0,0.0,0.74,32000
8248,8249,X,O,0.13641944527626038,0,-1.0,0.746,32000
8498,8499,X,O,0.06175816431641579,0,0.0,0.764,32000
8748,8749,X,O,0.07146985828876495,0,0.0,0.866,32000
8998,8999,X,O,0.06248629093170166,0,0.0,0.816,32000
9248,9249,X,O,0.09945239126682281,0,0.0,0.798,32000
9498,9499,X,O,0.060996174812316895,0,0.0,0.896,32000
9748,9749,X,O,0.10269995033740997,0,0.0,0.862,32000
9998,9999,X,O,0.08894935995340347,0,0.0,0.816,32000
10248,10249,X,O,0.08614513278007507,0,0.0,0.862,32000
10498,10499,X,O,0.04408581554889679,0,0.0,0.88,32000
10748,10749,X,O,0.08985459059476852,0,0.21,0.814,32000
10998,10999,X,O,0.05889302119612694,0,0.28,0.858,32000
11248,11249,X,O,0.075758196413517,0,0.0,0.816,32000
11498,11499,X,O,0.10045206546783447,0,0.0,0.814,32000
11748,11749,X,O,0.04737894609570503,0,0.102,0.878,32000
11998,11999,X,O,0.06141361594200134,0,0.0,0.85,32000
12248,12249,X,O,0.08135535567998886,0,0.166,0.886,32000
12498,12499,X,O,0.07349419593811035,0,-0.294,0.844,32000
12748,12749,X,O,0.0926491841673851,0,0.0,0.816,32000
12998,12999,X,O,0.08375032246112823,0,0.196,0.864,32000
13248,13249,X,O,0.09823328256607056,0,0.0,0.764,32000
13498,13499,X,O,0.06562607735395432,0,0.194,0.814,32000
13748,13749,X,O,0.13193827867507935,0,0.0,0.736,32000
13998,13999,X,O,0.09267616271972656,0,0.2,0.73,32000
14248,14249,X,O,0.0938962996006012,0,0.186,0.82,32000
14498,14499,X,O,0.07231967151165009,0,0.0,0.814,32000
14748,14749,X,O,0.07754066586494446,0,0.186,0.806,32000
14998,14999,X,O,0.07513739168643951,0,0.0,0.772,32000
15248,15249,X,O,0.09573215991258621,0,0.0,0.822,32000
