,game,reward_1,reward_2,player_1,player_2,loss_1,loss_2,player_1_opt,player_1_rand,eps
1248,1249,1,-1,X,O,0.07344892621040344,0.11251866072416306,-0.396,0.708,0.4
1498,1499,1,-1,X,O,0.16646073758602142,0.103019118309021,-1.0,0.762,0.4
1748,1749,1,-1,X,O,0.09671256691217422,0.10258609056472778,-1.0,0.784,0.4
1998,1999,0,0,X,O,0.09181375056505203,0.12822756171226501,-0.678,0.828,0.4
2248,2249,1,-1,X,O,0.06284966319799423,0.09477502107620239,-0.396,0.826,0.4
2498,2499,1,-1,X,O,0.1255512535572052,0.07123806327581406,-0.792,0.726,0.4
2748,2749,1,-1,X,O,0.0734553337097168,0.057996176183223724,-0.798,0.824,0.4
2998,2999,1,-1,X,O,0.120245561003685,0.06464989483356476,-0.7,0.84,0.4
3248,3249,-1,1,X,O,0.08094145357608795,0.09881825745105743,-0.596,0.838,0.4
3498,3499,1,-1,X,O,0.08726191520690918,0.08508334308862686,-0.798,0.846,0.4
3748,3749,0,0,X,O,0.05262114107608795,0.08814241737127304,-0.798,0.896,0.4
3998,3999,-1,1,X,O,0.11569428443908691,0.11484503746032715,-0.5,0.888,0.4
4248,4249,1,-1,X,O,0.0769290179014206,0.05997471138834953,-0.806,0.868,0.4
4498,4499,1,-1,X,O,0.06785433739423752,0.058558035641908646,-0.702,0.88,0.4
4748,4749,1,-1,X,O,0.12242025882005692,0.09071747958660126,0.396,0.864,0.4
4998,4999,1,-1,X,O,0.09181125462055206,0.06864765286445618,-0.604,0.862,0.4
5248,5249,-1,1,X,O,0.1086248904466629,0.08894167095422745,-0.104,0.802,0.4
5498,5499,0,0,X,O,0.06823024153709412,0.09772466868162155,0.202,0.882,0.4
5748,5749,1,-1,X,O,0.1041189581155777,0.08822090923786163,-0.466,0.884,0.4
5998,5999,-1,1,X,O,0.05989391356706619,0.11291307210922241,-0.336,0.884,0.4
6248,6249,1,-1,X,O,0.09915640950202942,0.066289521753788,-0.604,0.914,0.4
6498,6499,-1,1,X,O,0.08727321773767471,0.08213890343904495,-0.904,0.888,0.4
6748,6749,-1,1,X,O,0.06689406931400299,0.07788895815610886,0.396,0.868,0.4
6998,6999,-1,1,X,O,0.10554476827383041,0.10304796695709229,0.202,0.838,0.4
7248,7249,-1,1,X,O,0.0644504576921463,0.07704126834869385,-0.104,0.908,0.4
7498,7499,-1,1,X,O,0.07491907477378845,0.09823723137378693,-0.798,0.898,0.4
7748,7749,-1,1,X,O,0.07845036685466766,0.092384472489357,-0.798,0.88,0.4
7998,7999,1,-1,X,O,0.10503533482551575,0.10046572983264923,-0.604,0.888,0.4
8248,8249,-1,1,X,O,0.12266846746206284,0.14897388219833374,-0.604,0.914,0.4
8498,8499,0,0,X,O,0.11838740110397339,0.06216166540980339,-0.798,0.836,0.4
8748,8749,1,-1,X,O,0.15317969024181366,0.11144310235977173,-0.694,0.78,0.4
8998,8999,-1,1,X,O,0.05181729048490524,0.09844344854354858,-0.798,0.884,0.4
9248,9249,-1,1,X,O,0.06524748355150223,0.0804746150970459,-0.798,0.802,0.4
9498,9499,1,-1,X,O,0.06277990341186523,0.07814747095108032,0.0,0.858,0.4
9748,9749,-1,1,X,O,0.15201207995414734,0.11731061339378357,-1.0,0.84,0.4
9998,9999,1,-1,X,O,0.10203598439693451,0.11067646741867065,-0.5,0.834,0.4
10248,10249,-1,1,X,O,0.08613646775484085,0.12879124283790588,-0.702,0.832,0.4
10498,10499,1,-1,X,O,0.09721861034631729,0.07385087013244629,-0.458,0.642,0.4
10748,10749,-1,1,X,O,0.07443644851446152,0.09318803250789642,0.404,0.85,0.4
10998,10999,-1,1,X,O,0.10376143455505371,0.08578833192586899,-0.482,0.85,0.4
11248,11249,1,-1,X,O,0.063942551612854,0.08974689245223999,-0.586,0.846,0.4
11498,11499,1,-1,X,O,0.054516445845365524,0.09418591856956482,-0.49,0.862,0.4
11748,11749,1,-1,X,O,0.09496371448040009,0.046540457755327225,-0.44,0.796,0.4
11998,11999,1,-1,X,O,0.07701827585697174,0.09229117631912231,-0.694,0.802,0.4
12248,12249,1,-1,X,O,0.11218629032373428,0.08790376037359238,0.0,0.896,0.4
12498,12499,-1,1,X,O,0.12873543798923492,0.10112977027893066,-0.702,0.882,0.4
12748,12749,-1,1,X,O,0.05059625953435898,0.04973076283931732,-0.762,0.826,0.4
12998,12999,0,0,X,O,0.08092173933982849,0.10323911905288696,-0.3,0.848,0.4
13248,13249,-1,1,X,O,0.11118299514055252,0.06571395695209503,-0.446,0.888,0.4
13498,13499,0,0,X,O,0.08205240964889526,0.07433696836233139,-0.604,0.87,0.4
13748,13749,1,-1,X,O,0.1074574887752533,0.05804236978292465,-0.798,0.894,0.4
13998,13999,1,-1,X,O,0.03837445005774498,0.11104270815849304,-0.694,0.898,0.4
14248,14249,0,0,X,O,0.05475028231739998,0.06099902093410492,-0.658,0.886,0.4
14498,14499,0,0,X,O,0.08374972641468048,0.08844462037086487,-0.566,0.876,0.4
14748,14749,1,-1,X,O,0.09440594911575317,0.05473896861076355,-0.576,0.81,0.4
14998,14999,-1,1,X,O,0.1450830101966858,0.10024305433034897,-0.798,0.806,0.4
15248,15249,-1,1,X,O,0.10637988150119781,0.13736696541309357,-0.798,0.87,0.4
15498,15499,1,-1,X,O,0.10073980689048767,0.10395626723766327,-0.396,0.882,0.4
15748,15749,1,-1,X,O,0.05769434571266174,0.07855097204446793,-0.104,0.816,0.4
15998,15999,-1,1,X,O,0.09754082560539246,0.12897874414920807,-0.902,0.866,0.4
16248,16249,1,-1,X,O,0.11544586718082428,0.0851326659321785,-0.902,0.844,0.4
16498,16499,1,-1,X,O,0.07556942105293274,0.09277280420064926,-0.896,0.746,0.4
16748,16749,1,-1,X,O,0.10371401906013489,0.0963994711637497,-0.896,0.874,0.4
16998,16999,-1,1,X,O,0.11383942514657974,0.06385499238967896,-0.5,0.854,0.4
17248,17249,1,-1,X,O,0.11195041239261627,0.07280686497688293,-0.45,0.884,0.4
17498,17499,-1,1,X,O,0.06388770043849945,0.07787429541349411,-0.552,0.872,0.4
17748,17749,-1,1,X,O,0.12541627883911133,0.07040645182132721,-0.604,0.878,0.4
17998,17999,0,0,X,O,0.09500622749328613,0.0930219292640686,-0.364,0.884,0.4
18248,18249,1,-1,X,O,0.12025251239538193,0.10084603726863861,-0.116,0.868,0.4
18498,18499,1,-1,X,O,0.09826548397541046,0.05558456853032112,-0.224,0.872,0.4
18748,18749,-1,1,X,O,0.11506713926792145,0.09217245876789093,-0.4,0.868,0.4
18998,18999,1,-1,X,O,0.05400838702917099,0.09085464477539062,-0.702,0.854,0.4
19248,19249,-1,1,X,O,0.08962956070899963,0.052906252443790436,-0.806,0.85,0.4
19498,19499,-1,1,X,O,0.12213226407766342,0.057639315724372864,0.0,0.836,0.4
19748,19749,-1,1,X,O,0.11591440439224243,0.07003606855869293,-0.566,0.8,0.4
19998,19999,0,0,X,O,0.06530722975730896,0.04707197844982147,-0.604,0.862,0.4
248,249,-1,1,X,O,0.07317938655614853,0.07045961916446686,-1.0,0.244,0.5
498,499,-1,1,X,O,0.042747072875499725,0.052576810121536255,-1.0,0.382,0.5
748,749,-1,1,X,O,0.09410559386014938,0.07410390675067902,-0.508,0.716,0.5
998,999,1,-1,X,O,0.07452104985713959,0.0736619234085083,-1.0,0.744,0.5
1248,1249,-1,1,X,O,0.0658840611577034,0.06856280565261841,-1.0,0.81,0.5
1498,1499,1,-1,X,O,0.058835987001657486,0.056727975606918335,-0.798,0.752,0.5
1748,1749,1,-1,X,O,0.07582101970911026,0.09831786155700684,-0.798,0.814,0.5
1998,1999,-1,1,X,O,0.13482534885406494,0.07933103293180466,-0.904,0.798,0.5
2248,2249,1,-1,X,O,0.042427465319633484,0.10113054513931274,-0.702,0.878,0.5
2498,2499,-1,1,X,O,0.11703604459762573,0.1158784031867981,-0.702,0.862,0.5
2748,2749,-1,1,X,O,0.07905890047550201,0.07919041812419891,-0.2,0.888,0.5
2998,2999,1,-1,X,O,0.09891541302204132,0.09868060052394867,-0.896,0.758,0.5
3248,3249,1,-1,X,O,0.12105751037597656,0.0957237035036087,-0.202,0.884,0.5
3498,3499,-1,1,X,O,0.11313632130622864,0.06559877842664719,-0.798,0.844,0.5
3748,3749,1,-1,X,O,0.09514522552490234,0.0914829820394516,-0.702,0.866,0.5
3998,3999,1,-1,X,O,0.08804492652416229,0.09351638704538345,-0.798,0.836,0.5
4248,4249,-1,1,X,O,0.09543446451425552,0.08563776314258575,-0.604,0.89,0.5
4498,4499,-1,1,X,O,0.09432679414749146,0.09559877216815948,-0.396,0.84,0.5
4748,4749,1,-1,X,O,0.08421698212623596,0.109237439930439,-0.896,0.78,0.5
4998,4999,-1,1,X,O,0.0898408517241478,0.08744733035564423,-0.604,0.86,0.5
5248,5249,1,-1,X,O,0.09627676010131836,0.10639113187789917,-0.604,0.896,0.5
5498,5499,-1,1,X,O,0.08796611428260803,0.07421837747097015,-0.604,0.898,0.5
5748,5749,-1,1,X,O,0.08403738588094711,0.08378590643405914,-0.104,0.858,0.5
5998,5999,-1,1,X,O,0.07984987646341324,0.07603713124990463,-0.798,0.83,0.5
6248,6249,1,-1,X,O,0.09761350601911545,0.10356160998344421,-0.896,0.81,0.5
6498,6499,0,0,X,O,0.09303984045982361,0.1338367760181427,-0.806,0.816,0.5
6748,6749,1,-1,X,O,0.10213766992092133,0.0859215259552002,-0.806,0.828,0.5
6998,6999,1,-1,X,O,0.10077410936355591,0.10046881437301636,0.194,0.872,0.5
7248,7249,-1,1,X,O,0.08198965340852737,0.07467742264270782,-0.806,0.834,0.5
7498,7499,-1,1,X,O,0.0844321921467781,0.09097469598054886,-0.806,0.796,0.5
7748,7749,1,-1,X,O,0.0936368927359581,0.08430057764053345,-0.806,0.806,0.5
7998,7999,1,-1,X,O,0.07469847798347473,0.07925006747245789,-0.806,0.896,0.5
8248,8249,1,-1,X,O,0.10333066433668137,0.07204672694206238,-0.902,0.852,0.5
8498,8499,1,-1,X,O,0.09501722455024719,0.047065455466508865,0.098,0.79,0.5
8748,8749,1,-1,X,O,0.07424964010715485,0.14459386467933655,-0.896,0.814,0.5
8998,8999,0,0,X,O,0.10774540156126022,0.08854234218597412,-0.798,0.842,0.5
9248,9249,-1,1,X,O,0.09087207913398743,0.140815868973732,-0.798,0.808,0.5
9498,9499,1,-1,X,O,0.09028805792331696,0.09305256605148315,-0.806,0.784,0.5
9748,9749,-1,1,X,O,0.14376208186149597,0.08122870326042175,0.298,0.724,0.5
9998,9999,1,-1,X,O,0.08884060382843018,0.060442715883255005,0.0,0.834,0.5
10248,10249,-1,1,X,O,0.11534301936626434,0.09684667736291885,-0.694,0.7,0.5
10498,10499,1,-1,X,O,0.1403360366821289,0.06130915507674217,-0.104,0.82,0.5
10748,10749,1,-1,X,O,0.06249002367258072,0.07940084487199783,-0.902,0.782,0.5
10998,10999,-1,1,X,O,0.0889190286397934,0.09299775213003159,-0.402,0.786,0.5
11248,11249,0,0,X,O,0.10541504621505737,0.06960930675268173,-0.604,0.842,0.5
11498,11499,1,-1,X,O,0.07659268379211426,0.12097537517547607,-0.798,0.786,0.5
11748,11749,1,-1,X,O,0.10520722717046738,0.07853081822395325,-0.096,0.8,0.5
11998,11999,1,-1,X,O,0.08119364827871323,0.05018934980034828,-0.096,0.812,0.5
12248,12249,-1,1,X,O,0.07527747750282288,0.08878085017204285,-0.798,0.818,0.5
12498,12499,-1,1,X,O,0.08692582696676254,0.07516270130872726,-0.798,0.812,0.5
12748,12749,1,-1,X,O,0.08275282382965088,0.06906422227621078,-0.5,0.864,0.5
12998,12999,1,-1,X,O,0.1024254709482193,0.08156941086053848,-0.2,0.84,0.5
13248,13249,-1,1,X,O,0.09843417257070541,0.09007646143436432,-0.202,0.874,0.5
13498,13499,1,-1,X,O,0.09695255756378174,0.14730516076087952,-0.702,0.89,0.5
13748,13749,0,0,X,O,0.05112561583518982,0.05192720890045166,-0.702,0.828,0.5
13998,13999,-1,1,X,O,0.05566389113664627,0.058977559208869934,-0.798,0.852,0.5
14248,14249,-1,1,X,O,0.06441910564899445,0.08411838114261627,-0.806,0.862,0.5
14498,14499,0,0,X,O,0.0731261819601059,0.08524162322282791,-0.5,0.856,0.5
14748,14749,-1,1,X,O,0.10847844183444977,0.0967254489660263,-0.5,0.888,0.5
14998,14999,1,-1,X,O,0.09694516658782959,0.11152086406946182,0.396,0.88,0.5
